ENSG	NCBI	HGNCID	chr	uniprot	symbol	name
ENSG00000104140	171177	HGNC:18313	15q15.1	Q96L33	RHOV	ras homolog family member V
ENSG00000172602	27289	HGNC:18314	12q13.12	Q92730	RND1	Rho family GTPase 1
ENSG00000108830	8153	HGNC:18315	17q21.31	P52198	RND2	Rho family GTPase 2
ENSG00000178175	167465	HGNC:18316	5q13.1	Q8N895	ZNF366	zinc finger protein 366
ENSG00000145029	84276	HGNC:18317	3p21.31	Q9BSH3	NICN1	nicolin 1
ENSG00000171456	171023	HGNC:18318	20q11.21	Q8IXJ9	ASXL1	ASXL transcriptional regulator 1
ENSG00000175785	145270	HGNC:18319	14q32.12	Q86XR5	PRIMA1	proline rich membrane anchor 1
ENSG00000165244	195828	HGNC:18320	9q22.32	Q7RTV3	ZNF367	zinc finger protein 367
ENSG00000099377	80270	HGNC:18324	16p11.2	Q9H2F3	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
ENSG00000215568	128954	HGNC:18325	22q11.1	Q2WGN9	GAB4	GRB2 associated binding protein family member 4
ENSG00000175155	388403	HGNC:18326	17q22	Q96QA6	YPEL2	yippee like 2
ENSG00000090238	83719	HGNC:18327	16p11.2	P61236	YPEL3	yippee like 3
ENSG00000166793	219539	HGNC:18328	11q12.1	Q96NS1	YPEL4	yippee like 4
ENSG00000119801	51646	HGNC:18329	2p23.1	P62699	YPEL5	yippee like 5
ENSG00000245848	1050	HGNC:1833	19q13.11	P49715	CEBPA	CCAAT enhancer binding protein alpha
ENSG00000140993	91151	HGNC:18331	16p13.3	Q6NT04	TIGD7	tigger transposable element derived 7
ENSG00000164296	81789	HGNC:18332	5q32	Q17RP2	TIGD6	tigger transposable element derived 6
ENSG00000180346	166815	HGNC:18333	4q22.1	Q4W5G0	TIGD2	tigger transposable element derived 2
ENSG00000173825	220359	HGNC:18334	11q13.1	Q6B0B8	TIGD3	tigger transposable element derived 3
ENSG00000169989	201798	HGNC:18335	4q31.3	Q8IY51	TIGD4	tigger transposable element derived 4
ENSG00000179886	84948	HGNC:18336	8q24.3	Q53EQ6	TIGD5	tigger transposable element derived 5
ENSG00000142619	51702	HGNC:18337	1p36.13	Q9ULW8	PADI3	peptidyl arginine deiminase 3
ENSG00000172216	1051	HGNC:1834	20q13.13	P17676	CEBPB	CCAAT enhancer binding protein beta
ENSG00000157796	57728	HGNC:18340	4p14	Q8NEZ3	WDR19	WD repeat domain 19
ENSG00000117115	11240	HGNC:18341	1p36.13	Q9Y2J8	PADI2	peptidyl arginine deiminase 2
ENSG00000137133	84681	HGNC:18344	9p13.3	Q9BX68	HINT2	histidine triad nucleotide binding protein 2
ENSG00000112773	55603	HGNC:18345	6q14.1	Q96IP4	TENT5A	terminal nucleotidyltransferase 5A
ENSG00000127666	148022	HGNC:18348	19p13.3	Q8IUC6	TICAM1	toll like receptor adaptor molecule 1
ENSG00000100867	10202	HGNC:18349	14q11.2	Q13268	DHRS2	dehydrogenase/reductase 2
ENSG00000221869	1052	HGNC:1835	8q11.21	P49716	CEBPD	CCAAT enhancer binding protein delta
ENSG00000234965	440829	HGNC:18351	22q13.2	B8ZZ34	SHISA8	shisa family member 8
ENSG00000100162	79019	HGNC:18352	22q13.2	Q9NSP4	CENPM	centromere protein M
ENSG00000125246	171425	HGNC:18355	13q32.3	Q8N0X4	CLYBL	citrate lyase beta like
ENSG00000167769	125981	HGNC:18356	19p13.3	Q8TDN7	ACER1	alkaline ceramidase 1
ENSG00000137727	57569	HGNC:18357	11q22.3-q23.1	Q9P2F6	ARHGAP20	Rho GTPase activating protein 20
ENSG00000163702	84818	HGNC:18358	3p25.3	Q8NAC3	IL17RC	interleukin 17 receptor C
ENSG00000165953	145264	HGNC:18359	14q32.13	Q8IW75	SERPINA12	serpin family A member 12
ENSG00000092067	1053	HGNC:1836	14q11.2	Q15744	CEBPE	CCAAT enhancer binding protein epsilon
ENSG00000176095	9807	HGNC:18360	3p21.31	Q92551	IP6K1	inositol hexakisphosphate kinase 1
ENSG00000081148	50939	HGNC:18362	3q12.3	Q9BZV3	IMPG2	interphotoreceptor matrix proteoglycan 2
ENSG00000182393	282618	HGNC:18363	19q13.2	Q8IU54	IFNL1	interferon lambda 1
ENSG00000183709	282616	HGNC:18364	19q13.2	Q8IZJ0	IFNL2	interferon lambda 2
ENSG00000197110	282617	HGNC:18365	19q13.2	Q8IZI9	IFNL3	interferon lambda 3
ENSG00000142623	29943	HGNC:18367	1p36.13	Q9ULC6	PADI1	peptidyl arginine deiminase 1
ENSG00000159339	23569	HGNC:18368	1p36.13	Q9UM07	PADI4	peptidyl arginine deiminase 4
ENSG00000153879	1054	HGNC:1837	19q13.11	P53567	CEBPG	CCAAT enhancer binding protein gamma
ENSG00000174903	81876	HGNC:18370	11q13.2	Q9H0U4	RAB1B	RAB1B, member RAS oncogene family
ENSG00000139182	9746	HGNC:18371	12p13.31	Q9BQT9	CLSTN3	calsyntenin 3
ENSG00000197024	57541	HGNC:18373	7q35	Q8TD17	ZNF398	zinc finger protein 398
ENSG00000172987	60495	HGNC:18374	10q24.2	Q8WWQ2	HPSE2	heparanase 2 (inactive)
ENSG00000187231	91404	HGNC:18379	2q31.2	Q86VW0	SESTD1	SEC14 and spectrin domain containing 1
ENSG00000082153	9689	HGNC:18380	2q33.1	Q7L1Q6	BZW1	basic leucine zipper and W2 domains 1
ENSG00000173227	91683	HGNC:18381	11q13.2	Q8IV01	SYT12	synaptotagmin 12
ENSG00000161055	92304	HGNC:18384	5q35.3	Q96QR1	SCGB3A1	secretoglobin family 3A member 1
ENSG00000196260	389376	HGNC:18386	6p21.33	Q6UW10	SFTA2	surfactant associated 2
ENSG00000229415	253970	HGNC:18387	14q13.3	P0C7M3	SFTA3	surfactant associated 3
ENSG00000093072	51816	HGNC:1839	22q11.1	Q9NZK5	ADA2	adenosine deaminase 2
ENSG00000164265	117156	HGNC:18391	5q32	Q96PL1	SCGB3A2	secretoglobin family 3A member 2
ENSG00000188076	147199	HGNC:18394	11p15.5	Q8TD33	SCGB1C1	secretoglobin family 1C member 1
ENSG00000168515	10648	HGNC:18395	11q12.3	O95968	SCGB1D1	secretoglobin family 1D member 1
ENSG00000124935	10647	HGNC:18396	11q12.3	O95969	SCGB1D2	secretoglobin family 1D member 2
ENSG00000163104	56916	HGNC:18398	4q22.3	Q9H4L7	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
ENSG00000169084	207063	HGNC:18399	Xp22.33 and Yp11.2	Q8N5I4	DHRSX	dehydrogenase/reductase X-linked
ENSG00000099954	27443	HGNC:1840	22q11.1-q11.21	Q9BXF3	CECR2	CECR2, histone acetyl-lysine reader
ENSG00000181852	10193	HGNC:18401	12q13.3	Q9H4P4	RNF41	ring finger protein 41
ENSG00000162191	51035	HGNC:18402	11q12.3	Q04323	UBXN1	UBX domain protein 1
ENSG00000183304	171482	HGNC:18403	Xp22.31	Q8IZU1	FAM9A	family with sequence similarity 9 member A
ENSG00000177138	171483	HGNC:18404	Xp22.31	Q8IZU0	FAM9B	family with sequence similarity 9 member B
ENSG00000187268	171484	HGNC:18405	Xp22.2	Q8IZT9	FAM9C	family with sequence similarity 9 member C
ENSG00000116771	79814	HGNC:18407	1p36.21	Q9BSE5	AGMAT	agmatinase
ENSG00000188994	23036	HGNC:18410	6q14.3	O60281	ZNF292	zinc finger protein 292
ENSG00000185669	333929	HGNC:18411	16q24.3	Q3KNW1	SNAI3	snail family transcriptional repressor 3
ENSG00000186908	23390	HGNC:18412	12q21.2	Q8IUH5	ZDHHC17	zinc finger DHHC-type containing 17
ENSG00000177054	54503	HGNC:18413	11p15.1	Q8IUH4	ZDHHC13	zinc finger DHHC-type containing 13
ENSG00000145040	90226	HGNC:18414	3p21.31	Q96RP3	UCN2	urocortin 2
ENSG00000130787	9026	HGNC:18415	12q24.31	O75146	HIP1R	huntingtin interacting protein 1 related
ENSG00000198855	11153	HGNC:18416	12q23.3	Q9BVA6	FICD	FIC domain containing
ENSG00000187516	25763	HGNC:18417	Xp11.4	O75409	HYPM	huntingtin interacting protein M
ENSG00000242028	25764	HGNC:18418	15q15.3	Q9NX55	HYPK	huntingtin interacting protein K
ENSG00000181555	29072	HGNC:18420	3p21.31	Q9BYW2	SETD2	SET domain containing 2
ENSG00000126070	192669	HGNC:18421	1p34.3	Q9H9G7	AGO3	argonaute 3, RISC catalytic component
ENSG00000100150	9681	HGNC:18423	22q12.2-q12.3	O75140	DEPDC5	DEP domain containing 5
ENSG00000134698	192670	HGNC:18424	1p34.3	Q9HCK5	AGO4	argonaute 4, RISC catalytic component
ENSG00000106853	22949	HGNC:18429	9q31.3	Q14914	PTGR1	prostaglandin reductase 1
ENSG00000069998	27440	HGNC:1843	22q11.1	Q9BXW7	HDHD5	haloacid dehalogenase like hydrolase domain containing 5
ENSG00000162723	89886	HGNC:18430	1q23.2	Q96A28	SLAMF9	SLAM family member 9
ENSG00000119673	10965	HGNC:18431	14q24.3	P49753	ACOT2	acyl-CoA thioesterase 2
ENSG00000150527	4253	HGNC:18432	14q13.2	Q96PC5	MIA2	MIA SH3 domain ER export factor 2
ENSG00000127586	63922	HGNC:18435	16p13.3	Q8WVB6	CHTF18	chromosome transmission fidelity factor 18
ENSG00000135077	84868	HGNC:18437	5q33.3	Q8TDQ0	HAVCR2	hepatitis A virus cellular receptor 2
ENSG00000163701	132014	HGNC:18439	3p25.3	Q8NFR9	IL17RE	interleukin 17 receptor E
ENSG00000183307	27439	HGNC:1844	22q11.1	Q9BXQ6	TMEM121B	transmembrane protein 121B
ENSG00000007341	54879	HGNC:18441	1p13.2	Q8TDW4	ST7L	suppression of tumorigenicity 7 like
ENSG00000179751	342898	HGNC:18442	19q13.2	Q0VAF6	SYCN	syncollin
ENSG00000184571	440822	HGNC:18443	22q11.23	Q7Z3Z3	PIWIL3	piwi like RNA-mediated gene silencing 3
ENSG00000134627	143689	HGNC:18444	11q21	Q7Z3Z4	PIWIL4	piwi like RNA-mediated gene silencing 4
ENSG00000129007	91860	HGNC:18445	15q23	Q96GE6	CALML4	calmodulin like 4
ENSG00000140398	79661	HGNC:18448	15q24.2	Q96FI4	NEIL1	nei like DNA glycosylase 1
ENSG00000002549	51056	HGNC:18449	4p15.32	P28838	LAP3	leucine aminopeptidase 3
ENSG00000180398	90411	HGNC:18451	2p21	Q8NI22	MCFD2	multiple coagulation factor deficiency 2
ENSG00000186187	84937	HGNC:18452	16q23.1	Q8ND25	ZNRF1	zinc and ring finger 1
ENSG00000163382	128240	HGNC:18453	1q22	Q8NCW5	NAXE	NAD(P)HX epimerase
ENSG00000143125	84432	HGNC:18454	1p13.3	P58294	PROK1	prokineticin 1
ENSG00000163421	60675	HGNC:18455	3p13	Q9HC23	PROK2	prokineticin 2
ENSG00000010318	51533	HGNC:18458	3p21.1	Q9BWX1	PHF7	PHD finger protein 7
ENSG00000153786	55625	HGNC:18459	16q24.1	Q9NXF8	ZDHHC7	zinc finger DHHC-type containing 7
ENSG00000178804	132243	HGNC:18463	3q22.1	Q8IZA3	H1FOO	H1 histone family member O oocyte specific
ENSG00000215045	392862	HGNC:18464	7p22.1	A4D2P6	GRID2IP	Grid2 interacting protein
ENSG00000171865	246243	HGNC:18466	2p25.3	O60930	RNASEH1	ribonuclease H1
ENSG00000111911	135114	HGNC:18468	6q22.32	Q9NQE9	HINT3	histidine triad nucleotide binding protein 3
ENSG00000104219	51201	HGNC:18469	8p22	Q9UIJ5	ZDHHC2	zinc finger DHHC-type containing 2
ENSG00000163812	51304	HGNC:18470	3p21.31	Q9NYG2	ZDHHC3	zinc finger DHHC-type containing 3
ENSG00000136247	55146	HGNC:18471	7p22.1	Q9NPG8	ZDHHC4	zinc finger DHHC-type containing 4
ENSG00000156599	25921	HGNC:18472	11q12.1	Q9C0B5	ZDHHC5	zinc finger DHHC-type containing 5
ENSG00000099904	29801	HGNC:18474	22q11.21	Q9ULC8	ZDHHC8	zinc finger DHHC-type containing 8
ENSG00000188706	51114	HGNC:18475	Xq26.1	Q9Y397	ZDHHC9	zinc finger DHHC-type containing 9
ENSG00000185088	51065	HGNC:18476	15q22.2	Q71UM5	RPS27L	ribosomal protein S27 like
ENSG00000185088	6232	HGNC:18476	15q22.2	Q71UM5	RPS27L	ribosomal protein S27 like
ENSG00000053372	51154	HGNC:18477	1p36.13	Q9UKD2	MRTO4	MRT4 homolog, ribosome maturation factor
ENSG00000137876	51187	HGNC:18479	15q21.3	Q9UHA3	RSL24D1	ribosomal L24 domain containing 1
ENSG00000170835	1056	HGNC:1848	9q34.13	P19835	CEL	carboxyl ester lipase
ENSG00000185344	23545	HGNC:18481	12q24.31	Q9Y487	ATP6V0A2	ATPase H+ transporting V0 subunit a2
ENSG00000163898	200879	HGNC:18483	3q27.2	Q8WWY8	LIPH	lipase H
ENSG00000167065	150290	HGNC:18484	22q12.2	Q8NEJ0	DUSP18	dual specificity phosphatase 18
ENSG00000171861	55178	HGNC:18485	17p13.3	Q9HC36	MRM3	mitochondrial rRNA methyltransferase 3
ENSG00000133401	23037	HGNC:18486	5p13.3	O15018	PDZD2	PDZ domain containing 2
ENSG00000075275	9620	HGNC:1850	22q13.31	Q9NYQ6	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1
ENSG00000092377	90665	HGNC:18502	Yp11.2	Q9BQ87	TBL1Y	transducin beta like 1 Y-linked
ENSG00000197580	83875	HGNC:18503	11q23.1	Q9BYV7	BCO2	beta-carotene oxygenase 2
ENSG00000132185	84824	HGNC:18504	1q23.3	Q7L513	FCRLA	Fc receptor like A
ENSG00000108375	54894	HGNC:18505	17q23.2	Q68DV7	RNF43	ring finger protein 43
ENSG00000160856	115352	HGNC:18506	1q23.1	Q96P31	FCRL3	Fc receptor like 3
ENSG00000163518	83417	HGNC:18507	1q23.1	Q96PJ5	FCRL4	Fc receptor like 4
ENSG00000143297	83416	HGNC:18508	1q23.1	Q96RD9	FCRL5	Fc receptor like 5
ENSG00000163534	115350	HGNC:18509	1q23.1	Q96LA6	FCRL1	Fc receptor like 1
ENSG00000115163	1058	HGNC:1851	2p23.3	P49450	CENPA	centromere protein A
ENSG00000173612	222545	HGNC:18510	6q22.1	Q5T6X5	GPRC6A	G protein-coupled receptor class C group 6 member A
ENSG00000147592	51110	HGNC:18512	8q13.3	Q53H82	LACTB2	lactamase beta 2
ENSG00000178764	22882	HGNC:18513	8q24.13	Q9Y6X8	ZHX2	zinc fingers and homeoboxes 2
ENSG00000133104	23111	HGNC:18514	13q13.3	Q8N0X7	SPART	spartin
ENSG00000147027	83604	HGNC:18515	Xp21.1	Q9BQJ4	TMEM47	transmembrane protein 47
ENSG00000168140	114990	HGNC:18517	16p13.3	Q6EMK4	VASN	vasorin
ENSG00000104889	10535	HGNC:18518	19p13.13	O75792	RNASEH2A	ribonuclease H2 subunit A
ENSG00000196873	445571	HGNC:18519	9q21.11	Q5JTY5	CBWD3	COBW domain containing 3
ENSG00000125817	1059	HGNC:1852	20p13	P07199	CENPB	centromere protein B
ENSG00000184492	200350	HGNC:18521	2q14.1	Q9NU39	FOXD4L1	forkhead box D4 like 1
ENSG00000204779	653427	HGNC:18522	9q21.11	Q5VV16	FOXD4L5	forkhead box D4 like 5
ENSG00000187559	286380	HGNC:18523	9q21.11	Q6VB84	FOXD4L3	forkhead box D4 like 3
ENSG00000159556	64843	HGNC:18524	15q24.3	Q96A47	ISL2	ISL LIM homeobox 2
ENSG00000205795	192668	HGNC:18525	2p25.1	Q717R9	CYS1	cystin 1
ENSG00000167916	192666	HGNC:18527	17q21.2	Q2M2I5	KRT24	keratin 24
ENSG00000033122	57554	HGNC:18531	1p31.1	Q96NW7	LRRC7	leucine rich repeat containing 7
ENSG00000230522	125997	HGNC:18532	19p13.2	Q8NHZ7	MBD3L2	methyl-CpG binding domain protein 3 like 2
ENSG00000090686	84196	HGNC:18533	1p36.12	Q86UV5	USP48	ubiquitin specific peptidase 48
ENSG00000163312	113510	HGNC:18536	4q21.23	Q8TDG4	HELQ	helicase, POLQ like
ENSG00000102471	54602	HGNC:18537	13q31.1	Q9NV92	NDFIP2	Nedd4 family interacting protein 2
ENSG00000137804	51203	HGNC:18538	15q14	Q9BXS6	NUSAP1	nucleolar and spindle associated protein 1
ENSG00000099365	112755	HGNC:18539	16p11.2	P61266	STX1B	syntaxin 1B
ENSG00000145241	1060	HGNC:1854	4q13.2	Q03188	CENPC	centromere protein C
ENSG00000169169	126129	HGNC:18540	19q13.33	Q8TCG5	CPT1C	carnitine palmitoyltransferase 1C
ENSG00000005483	55904	HGNC:18541	7q22.3	Q8IZD2	KMT2E	lysine methyltransferase 2E
ENSG00000158985	56990	HGNC:18547	5q31.1	Q9NRR3	CDC42SE2	CDC42 small effector 2
ENSG00000164935	81501	HGNC:18549	8q22.3	Q9H295	DCSTAMP	dendrocyte expressed seven transmembrane protein
ENSG00000134049	51124	HGNC:18550	18q21.1	Q9Y5U9	IER3IP1	immediate early response 3 interacting protein 1
ENSG00000128185	85359	HGNC:18551	22q11.21	Q9BY27	DGCR6L	DiGeorge syndrome critical region gene 6 like
ENSG00000102934	51090	HGNC:18553	16q13	Q9Y342	PLLP	plasmolipin
ENSG00000123739	81579	HGNC:18554	4q25	Q9BZM1	PLA2G12A	phospholipase A2 group XIIA
ENSG00000138308	84647	HGNC:18555	10q22.1	Q9BX93	PLA2G12B	phospholipase A2 group XIIB
ENSG00000162851	64216	HGNC:18559	1q44	Q9H5Q4	TFB2M	transcription factor B2, mitochondrial
ENSG00000138778	1062	HGNC:1856	4q24	Q02224	CENPE	centromere protein E
ENSG00000188428	63915	HGNC:18561	6p24.3	Q8TDH9	BLOC1S5	biogenesis of lysosomal organelles complex 1 subunit 5
ENSG00000163497	54738	HGNC:18562	2q35	Q99581	FEV	FEV, ETS transcription factor
ENSG00000131864	57663	HGNC:18563	19q13.43	Q9HBJ7	USP29	ubiquitin specific peptidase 29
ENSG00000164591	91977	HGNC:18565	5q33.1	Q8TDC0	MYOZ3	myozenin 3
ENSG00000172468	86614	HGNC:18568	Yq11.222	Q96LI6	HSFY1	heat shock transcription factor Y-linked 1
ENSG00000176679	90655	HGNC:18569	Yp11.2	Q8IUE0	TGIF2LY	TGFB induced factor homeobox 2 like Y-linked
ENSG00000117724	1063	HGNC:1857	1q41	P49454	CENPF	centromere protein F
ENSG00000153779	90316	HGNC:18570	Xq21.31	Q8IUE1	TGIF2LX	TGFB induced factor homeobox 2 like X-linked
ENSG00000119471	84263	HGNC:18572	9q32	Q6YN16	HSDL2	hydroxysteroid dehydrogenase like 2
ENSG00000152669	10309	HGNC:18576	5q11.2	P22674	CCNO	cyclin O
ENSG00000086712	55787	HGNC:18578	Xp22.2	Q9NUQ3	TXLNG	taxilin gamma
ENSG00000119397	11064	HGNC:1858	9q33.2	Q7Z7A1	CNTRL	centriolin
ENSG00000145721	167410	HGNC:18581	5q15	Q8N485	LIX1	limb and CNS expressed 1
ENSG00000117114	23266	HGNC:18582	1p31.1	O95490	ADGRL2	adhesion G protein-coupled receptor L2
ENSG00000111110	57460	HGNC:18583	12q14.1-q14.2	Q9ULR3	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H
ENSG00000185436	163702	HGNC:18584	1p36.11	Q8IU57	IFNLR1	interferon lambda receptor 1
ENSG00000153944	124540	HGNC:18585	17q22	Q96DH6	MSI2	musashi RNA binding protein 2
ENSG00000102904	55815	HGNC:18586	16q22.1	Q2TAA8	TSNAXIP1	translin associated factor X interacting protein 1
ENSG00000164828	23353	HGNC:18587	7p22.3	O94901	SUN1	Sad1 and UNC84 domain containing 1
ENSG00000106013	56311	HGNC:18588	7q31.31	Q92527	ANKRD7	ankyrin repeat domain 7
ENSG00000128346	84645	HGNC:18589	22q13.1	Q9BZE7	C22orf23	chromosome 22 open reading frame 23
ENSG00000126001	11190	HGNC:1859	20q11.22	Q9BV73	CEP250	centrosomal protein 250
ENSG00000100344	80339	HGNC:18590	22q13.31	Q9NST1	PNPLA3	patatin like phospholipase domain containing 3
ENSG00000119638	91754	HGNC:18591	14q24.3	Q8TD19	NEK9	NIMA related kinase 9
ENSG00000163491	152110	HGNC:18592	3p24.1	Q6ZWH5	NEK10	NIMA related kinase 10
ENSG00000114670	79858	HGNC:18593	3q22.1	Q8NG66	NEK11	NIMA related kinase 11
ENSG00000100395	83746	HGNC:18594	22q13.2	Q969R5	L3MBTL2	L3MBTL2, polycomb repressive complex 1 subunit
ENSG00000169635	23119	HGNC:18595	22q11.21	Q96JB3	HIC2	HIC ZBTB transcriptional repressor 2
ENSG00000100121	91227	HGNC:18596	22q11.22	Q14390	GGTLC2	gamma-glutamyltransferase light chain 2
ENSG00000169548	129025	HGNC:18597	22q11.22	P59817	ZNF280A	zinc finger protein 280A
ENSG00000126216	10426	HGNC:18598	13q34	Q96CW5	TUBGCP3	tubulin gamma complex associated protein 3
ENSG00000130640	10844	HGNC:18599	10q26.3	Q9BSJ2	TUBGCP2	tubulin gamma complex associated protein 2
ENSG00000196839	100	HGNC:186	20q13.12	P00813	ADA	adenosine deaminase
ENSG00000040608	65078	HGNC:18601	22q11.21	Q9BZR6	RTN4R	reticulon 4 receptor
ENSG00000163792	150921	HGNC:18602	2p23.3	Q7RTU1	TCF23	transcription factor 23
ENSG00000188517	84570	HGNC:18603	4q25	Q9BXS0	COL25A1	collagen type XXV alpha 1 chain
ENSG00000198754	64064	HGNC:18606	1p34.2	Q9BYC2	OXCT2	3-oxoacid CoA-transferase 2
ENSG00000141424	25800	HGNC:18607	18q12.2	Q13433	SLC39A6	solute carrier family 39 member 6
ENSG00000154237	79705	HGNC:18608	15q26.3	Q38SD2	LRRK1	leucine rich repeat kinase 1
ENSG00000188283	163087	HGNC:18609	19q13.13	Q8NA42	ZNF383	zinc finger protein 383
ENSG00000171435	283455	HGNC:18610	12q24.22-q24.23	Q6VAB6	KSR2	kinase suppressor of ras 2
ENSG00000188906	120892	HGNC:18618	12q12	Q5S007	LRRK2	leucine rich repeat kinase 2
ENSG00000136152	83548	HGNC:18619	13q14.13	Q96JB2	COG3	component of oligomeric golgi complex 3
ENSG00000147869	9350	HGNC:1862	9p22.3	O95813	CER1	cerberus 1, DAN family BMP antagonist
ENSG00000103051	25839	HGNC:18620	16q22.1	Q9H9E3	COG4	component of oligomeric golgi complex 4
ENSG00000133103	57511	HGNC:18621	13q14.11	Q9Y2V7	COG6	component of oligomeric golgi complex 6
ENSG00000168434	91949	HGNC:18622	16p12.2	P83436	COG7	component of oligomeric golgi complex 7
ENSG00000134285	51303	HGNC:18624	12q13.12	Q9NYL4	FKBP11	FK506 binding protein 11
ENSG00000106080	55033	HGNC:18625	7p14.3	Q9NWM8	FKBP14	FK506 binding protein 14
ENSG00000100360	11020	HGNC:18626	22q12.3	Q9BW83	IFT27	intraflagellar transport 27
ENSG00000196570	345456	HGNC:18627	5q35.3	P60673	PFN3	profilin 3
ENSG00000010327	23166	HGNC:18628	3p21.1	Q9NY15	STAB1	stabilin 1
ENSG00000136011	55576	HGNC:18629	12q23.3	Q8WWQ8	STAB2	stabilin 2
ENSG00000198848	1066	HGNC:1863	16q12.2	P23141	CES1	carboxylesterase 1
ENSG00000100583	161394	HGNC:18631	14q24.3	Q9P1V8	SAMD15	sterile alpha motif domain containing 15
ENSG00000165115	55582	HGNC:18632	9q21.32	Q86VH2	KIF27	kinesin family member 27
ENSG00000100580	283578	HGNC:18633	14q24.3	Q6PL24	TMED8	transmembrane p24 trafficking protein family member 8
ENSG00000156687	137970	HGNC:18634	8p12	Q6UXZ4	UNC5D	unc-5 netrin receptor D
ENSG00000121446	353299	HGNC:18636	1q25.3	A5PLK6	RGSL1	regulator of G protein signaling like 1
ENSG00000243910	80086	HGNC:18637	2q35	Q9H853	TUBA4B	tubulin alpha 4b
ENSG00000134207	148281	HGNC:18638	1p13.2	Q5T7P8	SYT6	synaptotagmin 6
ENSG00000072134	22905	HGNC:18639	17p11.2	O95208	EPN2	epsin 2
ENSG00000172831	8824	HGNC:1864	16q22.1	O00748	CES2	carboxylesterase 2
ENSG00000157978	26119	HGNC:18640	1p36.11	Q5SW96	LDLRAP1	low density lipoprotein receptor adaptor protein 1
ENSG00000064607	10147	HGNC:18641	19p13	Q8IX01	SUGP2	SURP and G-patch domain containing 2
ENSG00000105705	57794	HGNC:18643	19p13	Q8IWZ8	SUGP1	SURP and G-patch domain containing 1
ENSG00000145332	57563	HGNC:18644	4q22.1	Q9P2G9	KLHL8	kelch like family member 8
ENSG00000149084	51144	HGNC:18646	11p11.2	Q53GQ0	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12
ENSG00000130347	84816	HGNC:18647	6q21	Q8WWV3	RTN4IP1	reticulon 4 interacting protein 1
ENSG00000142002	91039	HGNC:18648	19p13.3	Q86TI2	DPP9	dipeptidyl peptidase 9
ENSG00000144366	51454	HGNC:18649	2q32.1-q32.2	Q9UBP9	GULP1	GULP PTB domain containing engulfment adaptor 1
ENSG00000172828	23491	HGNC:1865	16q22.1	Q6UWW8	CES3	carboxylesterase 3
ENSG00000123352	65244	HGNC:18650	12q13.12	Q86XZ4	SPATS2	spermatogenesis associated serine rich 2
ENSG00000180264	347088	HGNC:18651	9q33.3	Q7Z7M1	ADGRD2	adhesion G protein-coupled receptor D2
ENSG00000143952	51542	HGNC:18652	2p15-p14	Q9P1Q0	VPS54	VPS54, GARP complex subunit
ENSG00000172578	89857	HGNC:18653	3q27.1	Q8WZ60	KLHL6	kelch like family member 6
ENSG00000176225	25914	HGNC:18654	18q22.1	Q86VV8	RTTN	rotatin
ENSG00000100012	266629	HGNC:18655	22q12.2	Q9UDX4	SEC14L3	SEC14 like lipid binding 3
ENSG00000124784	83732	HGNC:18656	6p24.3	Q9BRS2	RIOK1	RIO kinase 1
ENSG00000085831	22996	HGNC:18657	1p32.3	Q5SRH9	TTC39A	tetratricopeptide repeat domain 39A
ENSG00000155561	23165	HGNC:18658	7q33	Q92621	NUP205	nucleoporin 205
ENSG00000177143	1068	HGNC:1866	18p11.32	Q12798	CETN1	centrin 1
ENSG00000118997	56171	HGNC:18661	2q32.3	Q8WXX0	DNAH7	dynein axonemal heavy chain 7
ENSG00000134438	30062	HGNC:18662	18q21.32	Q9Y2V3	RAX	retina and anterior neural fold homeobox
ENSG00000196937	10447	HGNC:18664	7q31.31	Q92520	FAM3C	family with sequence similarity 3 member C
ENSG00000198643	131177	HGNC:18665	3p14.2	Q96BQ1	FAM3D	family with sequence similarity 3 member D
ENSG00000185946	55599	HGNC:18666	1p21.1	Q96LT9	RNPC3	RNA binding region (RNP1, RRM) containing 3
ENSG00000165688	23203	HGNC:18667	9q34.3	Q10713	PMPCA	peptidase, mitochondrial processing alpha subunit
ENSG00000160685	51043	HGNC:18668	1q21.3	O15156	ZBTB7B	zinc finger and BTB domain containing 7B
ENSG00000072415	64398	HGNC:18669	14q23.3	Q8N3R9	MPP5	membrane palmitoylated protein 5
ENSG00000147400	1069	HGNC:1867	Xq28	P41208	CETN2	centrin 2
ENSG00000136861	55755	HGNC:18672	9q33.2	Q96SN8	CDK5RAP2	CDK5 regulatory subunit associated protein 2
ENSG00000108465	80279	HGNC:18673	17q21.32	Q96JB5	CDK5RAP3	CDK5 regulatory subunit associated protein 3
ENSG00000183258	51428	HGNC:18674	5q35.3	Q9UJV9	DDX41	DEAD-box helicase 41
ENSG00000198231	11325	HGNC:18676	17q23.3	Q86XP3	DDX42	DEAD-box helicase 42
ENSG00000080007	55510	HGNC:18677	6q13	Q9NXZ2	DDX43	DEAD-box helicase 43
ENSG00000153140	1070	HGNC:1868	5q14.3	O15182	CETN3	centrin 3
